feedback_id,customer_id,timestamp,customer_name,customer_email,customer_location,feedback_type,sentiment_label,feedback_text,sentiment_score,rating,product_name,purchase_date,topics_detected,cleaned_feedback
F000001,C000001,9/24/24 17:45,Ananya Reddy,ananya.reddy@rediffmail.com,Varanasi,Suggestion,Negative,"Not worth the price, I am disappointed!",-0.88,2,Horlicks Classic Malt,10/11/24,"Product Quality, Delivery, Variety",not worth the price i am disappointed
F000002,C000002,7/30/24 17:45,Esha Chatterjee,esha.chatterjee@outlook.com,Allahabad,Suggestion,Neutral,"धन्यवाद, समय पर delivery हो गया!",-0.21,3,LG Refrigerator 260L,9/17/24,Usability,   delivery  
F000003,C000003,1/26/25 17:45,Sakshi Thakur,sakshi.thakur@rediffmail.com,Meerut,Praise,Positive,"मुझे बहुत पसंद आया, quality excellent है!",-0.16,4,Apple iPhone 15,12/1/24,Support,    quality excellent 
F000004,C000004,9/29/24 17:45,Bhavesh Patel,bhavesh.patel@yahoo.in,Delhi,Praise,Positive,"मुझे बहुत पसंद आया, quality excellent है!",0.05,3,Apple iPhone 15,9/24/24,"Delivery, Variety",    quality excellent 
F000005,C000005,3/2/25 17:45,Harshita Iyer,harshita.iyer@yahoo.in,Ahmedabad,Praise,Positive,"अच्छा है, लेकिन थोड़े improvement की जरूरत है।",-0.12,5,JBL Bluetooth Speaker,12/25/24,Support,    improvement   
F000006,C000006,8/29/24 17:45,Pooja Agarwal,pooja.agarwal@hotmail.com,Solapur,Suggestion,Positive,"मुझे बहुत पसंद आया, quality excellent है!",-0.85,4,Redmi Smart TV,10/24/24,"Support, Refund, Pricing",    quality excellent 
F000007,C000007,9/9/24 17:45,Urvashi Sharma,urvashi.sharma@outlook.com,Howrah,Complaint,Neutral,"मिश्रित अनुभव, कुछ अच्छा कुछ खराब।",-0.2,3,Himalaya Face Wash,10/1/24,"Usability, Product Quality, Delivery",     
F000008,C000008,6/18/24 17:45,Aarav Sharma,aarav.sharma@hotmail.com,Lucknow,Suggestion,Positive,"मुझे बहुत पसंद आया, quality excellent है!",-0.99,2,L'Oreal Paris Lipstick,1/29/25,"Product Quality, Usability",    quality excellent 
F000009,C000009,7/30/24 17:45,Niharika Pandey,niharika.pandey@outlook.com,Ghaziabad,Complaint,Negative,"Not worth the price, I am disappointed!",-0.16,1,Levi's Jeans,1/26/25,"Product Quality, Variety",not worth the price i am disappointed
F000010,C000010,2/2/25 17:45,Bhavesh Patel,bhavesh.patel@hotmail.com,Vadodara,Praise,Negative,"Not worth the price, I am disappointed!",-0.3,4,Puma Running Shoes,1/18/25,"Delivery, Refund, Support",not worth the price i am disappointed
